"Numero de trabajo","Oficina","Descripcion","Fecha","Tiempo de mantenimiento","Numero orden pago","Pagado en caja","Pagado con traspaso de cuenta","Equipos propios"
"4502","Laboratorio de Hidraulica","Hardware","9/11/2020","1","13643","","50",""
"4503","Laboratorio de Hidraulica","Hardware","9/11/2020","3","13642","","90",""
"4504","Agroquimico CTA","Hardware","9/8/2020","1","13640","","40",""
"4505","Lab. de Computo","Hardware","9/9/2020","3","S/N","","","0"
"4506","Lab. de Computo","Hardware","9/9/2020","1","S/N","","","0"
"4507","Lab. de Computo","Hardware","9/10/2020","1","S/N","","","0"
"4508","Lab. de Computo","Hardware","9/10/2020","1","S/N","","","0"
"4509","Lab. de Desarrollo de Software","Hardware","9/9/2020","2","S/N","","","0"
"4510","Lab. de Computo","Hardware","9/11/2020","1","S/N","","","0"
"4511","Lab. de Computo","Hardware","9/11/2020","1","S/N","","","0"
"4512","Externo","Software","9/11/2020","1","13644","20","",""
"4513","Externo","Software","9/15/2020","1","13645","15","",""
"4514","Externo","Software","9/15/2020","1","13647","10","",""
"4515","Lab. de Computo","Hardware","9/16/2020","2","S/N","","","0"
"4516","Lab. de Computo","Hardware","9/16/2020","1","S/N","","","0"
"4517","Externo","Hardware","9/18/2020","3","15451","50","",""
"4518","Externo","Software","9/18/2020","2","13648","25","",""
"4519","Externo","Software","9/16/2020","1","13649","10","",""
"4520","Lab. de Computo","Hardware","9/17/2020","1","S/N","","","0"
"4521","Lab. de Computo","Hardware","9/17/2020","1","S/N","","","0"
"4522","Externo","Software","9/17/2020","1","13650","10","",""
"4523","Lab. de Computo","Hardware","9/18/2020","1","S/N","","","0"
"4524","Lab. de Computo","Hardware","9/18/2020","1","S/N","","","0"
"4525","Externo","Hardware","9/21/2020","3","15452","100","",""
"4526","Lab. de Computo","Hardware","9/21/2020","1","S/N","","","0"
"4527","Lab. de Computo","Hardware","9/21/2020","1","S/N","","","0"
"4528","Lab. de Hidraulica","Software","9/21/2020","1","15453","","60",""
"4529","Externo","Hardware","10/6/2020","1","15468","30","",""
"4530","Centro de Alimentos","Hardware","9/22/2020","1","15454","","40",""
"4531","Centro de Alimentos","Hardware","9/22/2020","1","15455","","40",""
"4532","Centro de Alimentos","Hardware","9/22/2020","2","15456","","40",""
"4533","Lab. de Computo","Hardware","9/23/2020","2","S/N","","","0"
"4534","Lab. de Computo","Hardware","9/23/2020","3","S/N","","","0"
"4535","Externo","Hardware","9/28/2020","3","15459","70","",""
"4536","Lab. de Computo","Hardware","9/24/2020","1","S/N","","","0"
"4537","Lab. de Computo","Hardware","9/24/2020","1","S/N","","","0"
"4538","Lab. de Computo","Hardware","9/28/2020","1","S/N","","","0"
"4539","Lab. de Computo","Hardware","9/28/2020","1","S/N","","","0"
"4540","Dep. de Quimica","Hardware","9/25/2020","1","15458","","60",""
"4541","CPD","Hardware","9/28/2020","1","15460","","90",""
"4542","Externo","Software","9/25/2020","1","15457","10","",""
"4543","Externo","Software","9/28/2020","2","15461","10","",""
"4544","Lab. de Computo","Hardware","10/6/2020","3","S/N","","","0"
"4545","Lab. de Computo","Hardware","10/6/2020","1","S/N","","","0"
"4546","Externo","Software","10/5/2020","1","15466","10","",""
"4547","Externo","Software","10/6/2020","1","15471","15","",""
"4548","Agroquimico CTA","Software","10/6/2020","3","15470","","25",""
"4549","Externo","Software","9/30/2020","1","15462","10","",""
"4550","Centro de Alimentos","Software","10/5/2020","2","15467","","50",""
"4551","Depto. de Industrial","Hardware","10/2/2020","1","15464","","15",""
"4552","Externo","Hardware","10/5/2020","3","15465","90","",""
"4553","Externo","Hardware","10/2/2020","1","15463","10","",""
"4554","Centro de Biotecnologia ","Hardware","10/5/2020","1","15469","","160",""
"4555","Centro de Biotecnologia(Externo)","Hardware","10/6/2020","2","15473","40","",""
"4556","Externo","Software","10/7/2020","1","15474","15","",""
"4557","Externo","Hardware","10/8/2020","1","15476","60","",""
"4558","Externo","Software","10/7/2020","1","15475","10","",""
"4559","Lab. de Computo","Hardware","10/8/2020","3","S/N","","","0"
"4560","Lab. de Computo","Hardware","10/8/2020","1","S/N","","","0"
"4561","Lab. de Computo","Hardware","10/8/2020","1","S/N","","","0"
"4562","Lab. de Computo","Hardware","10/8/2020","1","S/N","","","0"
"4563","Lab. de Computo","Hardware","10/12/2020","1","S/N","","","0"
"4564","Lab. de Computo","Hardware","10/12/2020","1","S/N","","","0"
"4565","Agroquimico CTA","Hardware","10/12/2020","1","15478","","50",""
"4566","Externo","Software","10/9/2020","2","15477","10","",""
"4567","Depto. de Informatica-Sistemas","Hardware","10/9/2020","3","S/N","","","0"
"4568","Lab. de Computo","Hardware","10/12/2020","1","S/N","","","0"
"4569","Lab. de Computo","Hardware","10/12/2020","1","S/N","","","0"
"4570","Externo","Software","10/12/2020","1","15479","10","",""
"4571","Lab. de Computo","Hardware","10/13/2020","3","S/N","","","0"
"4572","Lab. de Computo","Hardware","10/13/2020","1","S/N","","","0"
"4573","Externo","Software","10/15/2020","1","15482","60","",""
"4574","Externo","Software","10/14/2020","1","15480","50","",""
"4575","Laboratorio de Hidraulica","Hardware","11/10/2020","1","15494","","100",""
"4576","Externo","Software","10/15/2020","1","15481","20","",""
"4577","Externo","Hardware","10/19/2020","1","15484","15","",""
"4578","Externo","Software","10/15/2020","1","15483","10","",""
"4579","Lab. de Computo","Hardware","10/19/2020","1","S/N","","","0"
"4580","Lab. de Computo","Hardware","10/19/2020","2","S/N","","","0"
"4581","Administracion de Laboratorios","Hardware","10/16/2020","1","S/N","","","0"
"4582","Administracion de Laboratorios","Hardware","10/16/2020","1","S/N","","","0"
"4583","Lab. de Computo","Hardware","10/19/2020","1","S/N","","","0"
"4584","Lab. de Computo","Hardware","10/19/2020","1","S/N","","","0"
"4585","Lab. de Computo","Hardware","10/21/2020","2","S/N","","","0"
"4586","Externo","Software","10/23/2020","1","15486","60","",""
"4587","Lab. de Computo","Hardware","10/20/2020","1","S/N","","","0"
"4588","Lab. de Computo","Hardware","10/20/2020","1","S/N","","","0"
"4589","Externo","Software","10/21/2020","2","15485","15","",""
"4590","Lab. de Computo","Hardware","10/21/2020","1","S/N","","","0"
"4591","Depto. de Informatica-Sistemas","Hardware","10/21/2020","1","S/N","","","0"
"4592","Lab. de Computo","Hardware","10/23/2020","1","S/N","","","0"
"4593","Lab. de Computo","Hardware","10/23/2020","1","S/N","","","0"
"4594","Instituto de Investigacion","Hardware","10/23/2020","1","15487","","30",""
"4595","Lab. de Computo","Hardware","10/26/2020","1","S/N","","","0"
"4596","Lab. de Computo","Hardware","10/26/2020","1","S/N","","","0"
"4597","Centro de Aguas","Hardware","10/26/2020","3","15488","","30",""
"4598","Externo","Software","10/26/2020","1","15489","10","",""
"4599","Instituto de Investigacion","Hardware","10/26/2020","1","15490","","30",""
"4600","Instituto de Investigacion","Hardware","10/26/2020","2","15490","","50",""
"4601","Instituto de Investigacion","Hardware","10/26/2020","1","15490","","60",""
"4602","Lab. de Computo","Hardware","10/27/2020","1","S/N","","","0"
"4603","Lab. de Computo","Hardware","10/27/2020","1","S/N","","","0"
"4604","Lab. de Computo","Hardware","10/28/2020","1","S/N","","","0"
"4605","Lab. de Computo","Hardware","10/28/2020","1","S/N","","","0"
"4606","Decanato","Hardware","11/6/2020","1","15491","","100",""
"4607","Lab. de Computo","Hardware","11/4/2020","1","S/N","","","0"
"4608","Lab. de Computo","Hardware","11/4/2020","1","S/N","","","0"
"4609","Externo","Hardware","11/24/2020","1","15492","100","",""
"4610","Lab. de Computo","Hardware","11/5/2020","1","S/N","","","0"
"4611","Lab. de Computo","Hardware","11/5/2020","1","S/N","","","0"
"4612","Lab. de Computo","Hardware","11/9/2020","1","S/N","","","0"
"4613","Lab. de Computo","Hardware","11/9/2020","1","S/N","","","0"
"4614","Externo","Software","11/24/2020","1","15493","10","",""
"4615","Lab. de Computo","Hardware","11/9/2020","1","S/N","","","0"
"4616","Lab. de Computo","Hardware","11/9/2020","1","S/N","","","0"
"4617","Depto. de Quimica","Hardware","11/11/2020","1","15496","","50",""
"4618","Externo","Software","11/24/2020","1","15495","10","",""
